Date : 2025-10-17 15:02:33
Directory : d:\GITHUB - YULEISY\MatriTrack-Obstetricia
Total : 139 files,  26063 codes, 511 comments, 1238 blanks, all 27812 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         12 |     19,612 |          4 |         12 |     19,628 |
| TypeScript         |         97 |      3,140 |        247 |        659 |      4,046 |
| PostCSS            |         13 |      1,994 |        114 |        430 |      2,538 |
| HTML               |         13 |      1,157 |        142 |         83 |      1,382 |
| Markdown           |          2 |        104 |          2 |         53 |        159 |
| JSON with Comments |          2 |         56 |          2 |          1 |         59 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |        139 |     26,063 |        511 |      1,238 |     27,812 |
| . (Files)                                                                                                                                          |          1 |          6 |          0 |          1 |          7 |
| backend                                                                                                                                            |         59 |     11,330 |        139 |        367 |     11,836 |
| backend (Files)                                                                                                                                    |          7 |      9,711 |          2 |         34 |      9,747 |
| backend\src                                                                                                                                        |         50 |      1,589 |        137 |        327 |      2,053 |
| backend\src (Files)                                                                                                                                |          5 |        112 |         10 |         21 |        143 |
| backend\src\auth                                                                                                                                   |          8 |        104 |          1 |         21 |        126 |
| backend\src\auth (Files)                                                                                                                           |          4 |         62 |          1 |         10 |         73 |
| backend\src\auth\decorators                                                                                                                        |          2 |         10 |          0 |          2 |         12 |
| backend\src\auth\guards                                                                                                                            |          2 |         32 |          0 |          9 |         41 |
| backend\src\enums                                                                                                                                  |          6 |         32 |          1 |          7 |         40 |
| backend\src\modules                                                                                                                                |         31 |      1,341 |        125 |        278 |      1,744 |
| backend\src\modules\analisis                                                                                                                       |          1 |         13 |          3 |          4 |         20 |
| backend\src\modules\analisis\model                                                                                                                 |          1 |         13 |          3 |          4 |         20 |
| backend\src\modules\control-diagnostico                                                                                                            |          1 |         52 |          9 |         17 |         78 |
| backend\src\modules\control-diagnostico\model                                                                                                      |          1 |         52 |          9 |         17 |         78 |
| backend\src\modules\control-puerperio                                                                                                              |          1 |         57 |         10 |         19 |         86 |
| backend\src\modules\control-puerperio\model                                                                                                        |          1 |         57 |         10 |         19 |         86 |
| backend\src\modules\historial-medico                                                                                                               |          6 |         99 |          6 |         23 |        128 |
| backend\src\modules\historial-medico (Files)                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| backend\src\modules\historial-medico\Dto                                                                                                           |          3 |         27 |          0 |          6 |         33 |
| backend\src\modules\historial-medico\mapper                                                                                                        |          1 |         28 |          0 |          3 |         31 |
| backend\src\modules\historial-medico\model                                                                                                         |          1 |         35 |          6 |         12 |         53 |
| backend\src\modules\paciente                                                                                                                       |         10 |        507 |         38 |         88 |        633 |
| backend\src\modules\paciente (Files)                                                                                                               |          5 |        270 |         26 |         44 |        340 |
| backend\src\modules\paciente\dto                                                                                                                   |          3 |        119 |          2 |         22 |        143 |
| backend\src\modules\paciente\mapper                                                                                                                |          1 |         72 |          7 |          7 |         86 |
| backend\src\modules\paciente\model                                                                                                                 |          1 |         46 |          3 |         15 |         64 |
| backend\src\modules\programa-diagnostico                                                                                                           |          1 |         46 |          9 |         14 |         69 |
| backend\src\modules\programa-diagnostico\model                                                                                                     |          1 |         46 |          9 |         14 |         69 |
| backend\src\modules\programa-puerperio                                                                                                             |          1 |         44 |          5 |         12 |         61 |
| backend\src\modules\programa-puerperio\model                                                                                                       |          1 |         44 |          5 |         12 |         61 |
| backend\src\modules\resultado-analisis                                                                                                             |          1 |         44 |          7 |         14 |         65 |
| backend\src\modules\resultado-analisis\model                                                                                                       |          1 |         44 |          7 |         14 |         65 |
| backend\src\modules\usuario                                                                                                                        |          9 |        479 |         38 |         87 |        604 |
| backend\src\modules\usuario (Files)                                                                                                                |          5 |        339 |         25 |         46 |        410 |
| backend\src\modules\usuario\dto                                                                                                                    |          3 |        100 |          1 |         25 |        126 |
| backend\src\modules\usuario\model                                                                                                                  |          1 |         40 |         12 |         16 |         68 |
| backend\test                                                                                                                                       |          2 |         30 |          0 |          6 |         36 |
| frontend                                                                                                                                           |         79 |     14,727 |        372 |        870 |     15,969 |
| frontend (Files)                                                                                                                                   |          7 |     10,046 |          6 |         30 |     10,082 |
| frontend\src                                                                                                                                       |         72 |      4,681 |        366 |        840 |      5,887 |
| frontend\src (Files)                                                                                                                               |          5 |         61 |         25 |         18 |        104 |
| frontend\src\app                                                                                                                                   |         65 |      4,586 |        338 |        812 |      5,736 |
| frontend\src\app (Files)                                                                                                                           |          8 |        156 |         11 |         33 |        200 |
